,Period,Time,grid_node,Domestic_electricity,SolarGains
251,4,1,173.0,16.44140956030100,0.0
252,4,1,192.0,2.4510331759036100,0.0
253,4,1,193.0,4.5767070720000000,0.0
254,4,1,195.0,4.0937379840000000,0.0
255,4,1,196.0,0.69062544,0.0
256,5,1,1.0,1.2813105314225900,0.0
257,5,1,2.0,0.7555330351807230,0.0
258,5,1,5.0,2.366727710843370,0.0
259,5,1,6.0,1.7237590361445800,0.0
260,5,1,10.0,0.02205216,0.0
261,5,1,11.0,3.4609350862650600,0.0
262,5,1,13.0,0.6436240963855420,0.0
263,5,1,16.0,17.196632413245900,0.0
264,5,1,17.0,0.2849156626506020,0.0
265,5,1,19.0,4.502357428546490,0.0
266,5,1,20.0,2.2951209600000000,0.0
267,5,1,21.0,2.777831325301210,0.0
268,5,1,22.0,9.345946694802880,0.0
269,5,1,23.0,9.294343189382130,0.0
270,5,1,24.0,25.856203975903600,0.0
271,5,1,25.0,1.040809638554220,0.0
272,5,1,26.0,8.029637599036150,0.0
273,5,1,27.0,31.037750985420900,0.0
274,5,1,29.0,4.5870285765765800,0.0
275,5,1,33.0,19.456559718574000,0.0
276,5,1,34.0,8.289312390361450,0.0
277,5,1,35.0,4.374441093975900,0.0
278,5,1,38.0,4.490503737913750,0.0
279,5,1,40.0,1.681156626506020,0.0
280,5,1,41.0,13.071565328240800,0.0
281,5,1,45.0,4.414487244542870,0.0
282,5,1,58.0,1.965106265060240,0.0
283,5,1,59.0,2.197153402409640,0.0
284,5,1,61.0,11.066537778301300,0.0
285,5,1,65.0,0.6759948549533120,0.0
286,5,1,67.0,3.2433638400000000,0.0
287,5,1,68.0,11.005430201064900,0.0
288,5,1,73.0,0.9261879518072290,0.0
289,5,1,74.0,3.3471072000000000,0.0
290,5,1,76.0,5.3180915662650600,0.0
291,5,1,89.0,0.5361349397590360,0.0
292,5,1,97.0,0.7408454400000000,0.0
293,5,1,101.0,0.275277108433735,0.0
294,5,1,102.0,1.3948915662650600,0.0
295,5,1,104.0,0.3808000000000000,0.0
296,5,1,105.0,1.4698612800000000,0.0
297,5,1,107.0,7.686490506024100,0.0
298,5,1,108.0,6.257966265060240,0.0
299,5,1,111.0,3.663874486770050,0.0
300,5,1,120.0,3.9651394374228500,0.0
301,5,1,127.0,1.7522762400000000,0.0
302,5,1,130.0,6.396915662650600,0.0
303,5,1,134.0,24.866606575701100,0.0
304,5,1,140.0,17.850548005748700,0.0
305,5,1,141.0,2.26833696,0.0
306,5,1,143.0,52.360376068935,0.0
307,5,1,151.0,6.594461862180920,0.0
308,5,1,152.0,8.88234709901856,0.0
309,5,1,154.0,2.5783208898735100,0.0
310,5,1,155.0,7.222961641569120,0.0
311,5,1,157.0,2.7323393318236600,0.0
312,5,1,160.0,4.4810369683081,0.0
313,5,1,168.0,9.744628320286910,0.0
314,5,1,171.0,5.99289465810279,0.0
315,5,1,173.0,16.44140956030100,0.0
316,5,1,192.0,2.4510331759036100,0.0
317,5,1,193.0,4.5767070720000000,0.0
318,5,1,195.0,4.0937379840000000,0.0
319,5,1,196.0,0.69062544,0.0
320,6,1,1.0,1.2813105314225900,0.0
321,6,1,2.0,0.7555330351807230,0.0
322,6,1,5.0,2.366727710843370,0.0
323,6,1,6.0,1.7237590361445800,0.0
324,6,1,10.0,0.02205216,0.0
325,6,1,11.0,3.4609350862650600,0.0
326,6,1,13.0,0.6436240963855420,0.0
327,6,1,16.0,17.196632413245900,0.0
328,6,1,17.0,0.2849156626506020,0.0
329,6,1,19.0,4.502357428546490,0.0
330,6,1,20.0,2.2951209600000000,0.0
331,6,1,21.0,2.777831325301210,0.0
332,6,1,22.0,9.345946694802880,0.0
333,6,1,23.0,9.294343189382130,0.0
334,6,1,24.0,25.856203975903600,0.0
335,6,1,25.0,1.040809638554220,0.0
336,6,1,26.0,8.029637599036150,0.0
337,6,1,27.0,31.037750985420900,0.0
338,6,1,29.0,4.5870285765765800,0.0
339,6,1,33.0,19.456559718574000,0.0
340,6,1,34.0,8.289312390361450,0.0
